cell,time_s,current_A,voltage_V,soc,capacity_ah,contact_resistance_ohm,negative_gradient_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
Cell 3,1370.0,0.0,3.786871328096174,0.5426950354609933,4.7,0.022,-13.718688254248264,1781.8651322687583,0.0,0.0,0.0
Cell 3,1380.0,0.0,3.787603832308503,0.5426950354609933,4.7,0.022,-11.30545462156806,1728.7618940162647,0.0,0.0,0.0
Cell 3,1390.0,0.0,3.7882956246894244,0.5426950354609933,4.7,0.022,-9.319552668577671,1677.584177409124,0.0,0.0,0.0
Cell 3,1400.0,0.0,3.7889503904222894,0.5426950354609933,4.7,0.022,-7.685007716256223,1628.196046758887,0.0,0.0,0.0
Cell 3,1410.0,0.0,3.78957142513517,0.5426950354609933,4.7,0.022,-6.337686188624502,1580.4762272680964,0.0,0.0,0.0
Cell 3,1420.0,0.0,3.790161436179255,0.5426950354609933,4.7,0.022,-5.2267495661035355,1534.3262590945815,0.0,0.0,0.0
Cell 3,1430.0,0.0,3.790722819227546,0.5426950354609933,4.7,0.022,-4.309134232669749,1489.6593606164606,0.0,0.0,0.0
Cell 3,1440.0,0.0,3.791257586622172,0.5426950354609933,4.7,0.022,-3.551768263037957,1446.40338364942,0.0,0.0,0.0
Cell 3,1450.0,0.0,3.791767547305683,0.5426950354609933,4.7,0.022,-2.9270629610400647,1404.4935489418785,0.0,0.0,0.0
Cell 3,1460.0,0.0,3.792254429125727,0.5426950354609933,4.7,0.022,-2.411946742387954,1363.8674535340106,0.0,0.0,0.0
Cell 3,1470.0,0.0,3.7927196000685455,0.5426950354609933,4.7,0.022,-1.98810951185078,1324.4762964050824,0.0,0.0,0.0
Cell 3,1480.0,0.0,3.793164590047737,0.5426950354609933,4.7,0.022,-1.6401985647135007,1286.2640478034555,0.0,0.0,0.0
Cell 3,1490.0,0.0,3.793590579913318,0.5426950354609933,4.7,0.022,-1.3539743585206452,1249.1875532657868,0.0,0.0,0.0
Cell 3,1500.0,0.0,3.7939987239973885,0.5426950354609933,4.7,0.022,-1.1187158630491467,1213.204072620756,0.0,0.0,0.0
Cell 3,1510.0,0.0,3.794390104127352,0.5426950354609933,4.7,0.022,-0.9261552825992112,1178.2730242029575,0.0,0.0,0.0
Cell 3,1520.0,0.0,3.7947657188679877,0.5426950354609933,4.7,0.022,-0.7657072005349619,1144.355936664062,0.0,0.0,0.0
